PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Johnny FurphyJ. FurphyF,7:45,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,1,5,-10
Jarace WalkerJ. WalkerF,7:13,2,2,100,0,0,0.0,1,1,100,0,1,1,1,0,0,2,2,5,-3
Oscar TshiebweO. TshiebweC,5:27,2,3,66.7,0,0,0.0,1,2,50.0,1,4,5,1,0,0,0,2,5,5
Ben SheppardB. SheppardG,7:18,0,0,0.0,0,0,0.0,2,2,100,0,1,1,0,1,0,2,2,2,-1
Quenton JacksonQ. JacksonG,8:30,0,1,0.0,0,1,0.0,2,2,100,0,1,1,1,1,0,5,1,2,-5
Kendall BrownK. Brown,3:56,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-3
Enrique FreemanE. Freeman,5:39,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,1,0,0,0,1,-10
Tristen NewtonT. Newton,1:30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-2
Dakota MathiasD. Mathias,2:42,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
TOTALS,,6,12,50.0,1,5,20.0,7,9,77.8,1,7,8,4,5,0,10,10,20,-7
